Index,Manufacturer Part Number,Manufacturer Name,Description,Availability,Stock Status,Attrition %,Requested Quantity 1,Pack Quantity 1,Pack Type 1,Digi-Key Part Number 1,Unit Price 1,Extended Price 1,Minimum Order Quantity 1,Customer Reference,Requested Part Number,Lead Weeks,Datasheet,Part Status,Original Part numbers
1,C0805C104M5RAC7800,KEMET,CAP CER 0.1UF 50V X7R 0805,"878,828",In Stock,,11,11,Cut Tape (CT),399-C0805C104M5RAC7800CT-ND,0.08700,$0.96,1,,399-C0805C104M5RAC7800CT-ND,19,https://connect.kemet.com:7667/gateway/IntelliData-ComponentDocumentation/1.0/download/datasheet/C0805C104M5RACTU,Active,399-C0805C104M5RAC7800CT-ND
2,CL21A106KOQNNNE,Samsung Electro-Mechanics,CAP CER 10UF 16V X5R 0805,"4,588,996",In Stock,,3,3,Cut Tape (CT),1276-1096-1-ND,0.16000,$0.48,1,,1276-1096-1-ND,22,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/609/CL21A106KOQNNNE_Spec.pdf,Active,1276-1096-1-ND
3,CL21A475KAQNNNE,Samsung Electro-Mechanics,CAP CER 4.7UF 25V X5R 0805,"3,502,864",In Stock,,2,2,Cut Tape (CT),1276-1244-1-ND,0.16000,$0.32,1,,1276-1244-1-ND,22,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/41/CL21A475KAQNNNE_Spec.pdf,Active,1276-1244-1-ND
4,CC0805JRNPO9BN250,YAGEO,CAP CER 25PF 50V C0G/NPO 0805,"20,136",In Stock,,2,2,Cut Tape (CT),311-4233-1-ND,0.21000,$0.42,1,,311-4233-1-ND,16,https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GP_NP0_16V-to-50V_18.pdf,Active,311-4233-1-ND
5,C0805C150K1HAC7800,KEMET,CAP CER 15PF 100V X8R 0805,"13,065",In Stock,,2,2,Cut Tape (CT),399-C0805C150K1HAC7800CT-ND,0.16000,$0.32,1,,399-C0805C150K1HAC7800CT-ND,20,https://connect.kemet.com:7667/gateway/IntelliData-ComponentDocumentation/1.0/download/datasheet/C0805C150K1HAC7800,Active,399-C0805C150K1HAC7800CT-ND
6,C0805X103K1RAC3316,KEMET,CAP CER 0805 10NF 100V X7R,"82,350",In Stock,,1,1,Cut Tape (CT),399-C0805X103K1RAC3316CT-ND,0.28000,$0.28,1,,399-C0805X103K1RAC3316CT-ND,16,https://connect.kemet.com:7667/gateway/IntelliData-ComponentDocumentation/1.0/download/datasheet/C0805X103K1RAC3316,Active,399-C0805X103K1RAC3316CT-ND
7,C0805C472J3GEC7210,KEMET,CAP CER 0805 4.7NF 25V C0G 5%,"13,829",In Stock,,1,1,Cut Tape (CT),399-C0805C472J3GEC7210CT-ND,0.36000,$0.36,1,,399-C0805C472J3GEC7210CT-ND,27,https://connect.kemet.com:7667/gateway/IntelliData-ComponentDocumentation/1.0/download/datasheet/C0805C472J3GEC7210,Active,399-C0805C472J3GEC7210CT-ND
8,RMCF0805FT120R,Stackpole Electronics Inc,RES 120 OHM 1% 1/8W 0805,"1,031,088",In Stock,,5,5,Cut Tape (CT),738-RMCF0805FT120RCT-ND,0.16000,$0.80,1,,738-RMCF0805FT120RCT-ND,17,https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf,Active,738-RMCF0805FT120RCT-ND
9,RMCF0805FT10K0,Stackpole Electronics Inc,RES 10K OHM 1% 1/8W 0805,"4,671,376",In Stock,,2,2,Cut Tape (CT),RMCF0805FT10K0CT-ND,0.16000,$0.32,1,,RMCF0805FT10K0CT-ND,17,https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf,Active,RMCF0805FT10K0CT-ND
10,RMCF0805FT1K00,Stackpole Electronics Inc,RES 1K OHM 1% 1/8W 0805,"1,037,673",In Stock,,2,2,Cut Tape (CT),RMCF0805FT1K00CT-ND,0.16000,$0.32,1,,RMCF0805FT1K00CT-ND,17,https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf,Active,RMCF0805FT1K00CT-ND
